Name,Address,Contact,Ranking,Cuisine,Reviews,Opening_hours,Ratings,Website,Item_url
Sistina,"24 E 81st St Between 80th & 81st Sts, New York City, NY 10028-0226",+1 212-861-7660,"#2,115",$$$$ItalianMediterraneanContemporary,176 reviews,See all hours,4.0,https://www.sistinany.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d23811025-Reviews-Sistina-New_York_City_New_York.html
Juliana's,"19 Old Fulton St, Brooklyn, NY 11201-1322",+1 718-596-6700,#7,$$ - $$$Pizza,"3,247 reviews",See all hours,4.5,http://julianaspizza.com/,https://www.tripadvisor.com/Restaurant_Review-g60827-d3741802-Reviews-Juliana_s-Brooklyn_New_York.html
Denino’s Pizzeria & Tavern,"524 Port Richmond Ave, Staten Island, NY 10302",+1 718-442-9401,#3,$$ - $$$ItalianPizzaVegetarian Friendly,818 reviews,See all hours,4.5,http://www.deninossi.com/,https://www.tripadvisor.com/Restaurant_Review-g48682-d444317-Reviews-Denino_s_Pizzeria_Tavern-Staten_Island_New_York.html
Ocean Prime,"123 W 52nd St, New York City, NY 10019",+1 212-956-1404,#60,$$$$AmericanSteakhouseSeafood,739 reviews,See all hours,4.5,https://www.ocean-prime.com/locations/new-york-city,https://www.tripadvisor.com/Restaurant_Review-g60763-d8534818-Reviews-Ocean_Prime-New_York_City_New_York.html
Keens Steakhouse,"72 West 36th Street, New York City, NY 10018-8025",+1 212-947-3636,#61,$$$$AmericanSteakhouseGluten Free Options,"6,867 reviews",,4.5,http://keens.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d425330-Reviews-Keens_Steakhouse-New_York_City_New_York.html
Gabriel Kreuther,"41 W 42nd St Grace Building, New York City, NY 10036-8003",+1 212-257-5826,#62,$$$$FrenchContemporaryVegetarian Friendly,777 reviews,See all hours,4.5,http://www.gknyc.com/reservations/,https://www.tripadvisor.com/Restaurant_Review-g60763-d8483826-Reviews-Gabriel_Kreuther-New_York_City_New_York.html
Knickerbocker Bar & Grill,"33 University Pl Corner Of 9th Street, New York City, NY 10003",+1 212-228-8490,#345,$$ - $$$AmericanSteakhouseBar,470 reviews,See all hours,4.0,http://www.knickerbockerbarandgrill.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d478632-Reviews-Knickerbocker_Bar_Grill-New_York_City_New_York.html
Via Della Pace,"87 E 4th St, New York City, NY 10003-8979",+1 212-253-5803,#63,$$ - $$$ItalianVegetarian FriendlyVegan Options,993 reviews,,4.5,http://www.viadellapacenyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d495865-Reviews-Via_Della_Pace-New_York_City_New_York.html
Her Name Is Han,"17 E 31st St, New York City, NY 10016-6718",+1 212-779-9990,#64,$$ - $$$AsianKoreanVegetarian Friendly,308 reviews,,4.5,http://www.hernameishan.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d9751045-Reviews-Her_Name_Is_Han-New_York_City_New_York.html
Ora Di Pasta,"1 W 59 Th Street, New York City, NY 10019",+1 646-755-3013,#65,$$ - $$$ItalianVegetarian FriendlyVegan Options,238 reviews,See all hours,4.5,http://www.oradipasta.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d8144717-Reviews-Ora_Di_Pasta-New_York_City_New_York.html
Gallaghers Steakhouse,"228 W 52nd St, New York City, NY 10019-5802",+1 212-586-5000,#66,$$$$AmericanSteakhouseGluten Free Options,"5,855 reviews",See all hours,4.5,http://www.gallaghersnysteakhouse.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d478965-Reviews-Gallaghers_Steakhouse-New_York_City_New_York.html
El Centro,"824 9th Ave 54th & 9th Avenue, New York City, NY 10019-5554",+1 646-763-6585,#67,$$ - $$$MexicanLatinCentral American,875 reviews,,4.5,http://elcentro-nyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d1008089-Reviews-El_Centro-New_York_City_New_York.html
Burger & Lobster,"39 W 19th St between Fifth & 6th Avenues, New York City, NY 10011-4225",+1 646-833-7532,#115,$$ - $$$AmericanSeafood,"1,104 reviews",See all hours,4.5,http://www.burgerandlobster.com/locations/new-york/flatiron/,https://www.tripadvisor.com/Restaurant_Review-g60763-d7345837-Reviews-Burger_Lobster-New_York_City_New_York.html
Russ & Daughters Cafe,"127 Orchard St, New York City, NY 10002-3103",+1 212-475-4881,#68,$$ - $$$AmericanCafeVegetarian Friendly,704 reviews,,4.5,http://www.russanddaughterscafe.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d7387632-Reviews-Russ_Daughters_Cafe-New_York_City_New_York.html
Eileen's Special Cheesecake,"17 Cleveland Pl Frnt A, New York City, NY 10012-4052",+1 212-966-5585,#69,$BakeriesAmerican,"2,125 reviews",11:00 AM - 7:00 PM,4.5,http://www.eileenscheesecake.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d808386-Reviews-Eileen_s_Special_Cheesecake-New_York_City_New_York.html
Cibo e Vino,"2418 Broadway, New York City, NY 10024-1710",+1 212-362-0096,#70,$$ - $$$ItalianMediterraneanEuropean,230 reviews,See all hours,4.5,http://www.ciboevinony.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d5825911-Reviews-Cibo_e_Vino-New_York_City_New_York.html
Little Owl,"90 Bedford St, New York City, NY 10014-3764",+1 212-741-4695,#71,$$ - $$$AmericanVegetarian FriendlyVegan Options,"1,268 reviews",See all hours,4.5,http://thelittleowlnyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d776994-Reviews-Little_Owl-New_York_City_New_York.html
John's Coffee Shop,"823 2nd Ave, New York City, NY 10017-4501",+1 212-867-4955,#72,$AmericanCafeDiner,282 reviews,12:00 AM - 7:00 PM,4.5,https://www.instagram.com/johnscoffeeshop/,https://www.tripadvisor.com/Restaurant_Review-g60763-d5059946-Reviews-John_s_Coffee_Shop-New_York_City_New_York.html
Da Andrea,"35 W 13th St, New York City, NY 10011-7924",+1 212-367-1979,#249,$$ - $$$ItalianVegetarian FriendlyVegan Options,377 reviews,See all hours,4.5,https://www.facebook.com/daandreanyc/,https://www.tripadvisor.com/Restaurant_Review-g60763-d457849-Reviews-Da_Andrea-New_York_City_New_York.html
L'Artusi,"228 W 10th St, New York City, NY 10014-6405",+1 212-255-5757,#73,$$$$ItalianEuropeanVegetarian Friendly,543 reviews,See all hours,4.5,http://lartusi.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d1368175-Reviews-L_Artusi-New_York_City_New_York.html
Mermaid Oyster Bar,"89 Macdougal St, New York City, NY 10012-2514",+1 212-260-0100,#74,$$ - $$$AmericanBarSeafood,286 reviews,See all hours,4.5,http://themermaidnyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d967636-Reviews-Mermaid_Oyster_Bar-New_York_City_New_York.html
City Vineyard at Pier 26,"233 West Street Pier 26, Hudson River Park, New York City, NY 10013",+1 646-677-8350,#75,$$ - $$$AmericanBarSeafood,433 reviews,See all hours,4.5,http://citywinery.com/city-vineyard-nyc,https://www.tripadvisor.com/Restaurant_Review-g60763-d10778920-Reviews-City_Vineyard_at_Pier_26-New_York_City_New_York.html
Dos Caminos,"675 Hudson St At 14th Street, New York City, NY 10014",+1 212-699-2400,#76,$$ - $$$MexicanLatinBar,853 reviews,,4.0,https://www.doscaminos.com/location/dos-caminos-meatpacking/,https://www.tripadvisor.com/Restaurant_Review-g60763-d2006608-Reviews-Dos_Caminos-New_York_City_New_York.html
Bareburger - Hell's Kitchen,"366 W 46th St, New York City, NY 10036-8307",+1 212-673-2273,#77,$$ - $$$AmericanBarHealthy,"1,548 reviews",,4.5,http://order.bareburger.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d5039941-Reviews-Bareburger_Hell_s_Kitchen-New_York_City_New_York.html
IZAKAYA E.A.K. Hell's Kitchen,"360 W 46th St, New York City, NY 10036-8339",+1 646-850-8032,"#2,499",$$ - $$$JapaneseAsianVegetarian Friendly,22 reviews,See all hours,4.5,http://eakramen.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d17767689-Reviews-IZAKAYA_E_A_K_Hell_s_Kitchen-New_York_City_New_York.html
Royal 35 Steakhouse,"1 E 35th Street, New York City, NY 10016-3828",+1 212-804-7276,#38,$$$$AmericanSteakhouseGluten Free Options,617 reviews,See all hours,4.5,http://www.royal35steakhouse.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d12015308-Reviews-Royal_35_Steakhouse-New_York_City_New_York.html
Manhatta,"28 Liberty St 60th Floor, New York City, NY 10005-1400",+1 212-230-5788,#78,$$$$AmericanContemporaryVegetarian Friendly,383 reviews,See all hours,4.5,http://www.manhattarestaurant.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d14416742-Reviews-Manhatta-New_York_City_New_York.html
Hatsuhana Sushi Restaurant,"17 E 48th St Ste 1 between Madion and 5th avenue, New York City, NY 10017-1010",+1 212-355-3345,#79,$$ - $$$JapaneseSushiAsian,433 reviews,See all hours,4.5,http://www.hatsuhana.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d424501-Reviews-Hatsuhana_Sushi_Restaurant-New_York_City_New_York.html
Rafele,"29 7th Ave S, New York City, NY 10014-3938",+1 212-242-1999,#80,$$ - $$$ItalianNeapolitanVegetarian Friendly,"1,256 reviews",See all hours,4.5,http://www.rafele.com/dinner,https://www.tripadvisor.com/Restaurant_Review-g60763-d3314559-Reviews-Rafele-New_York_City_New_York.html
Pylos,"128 E 7th St, New York City, NY 10009-6100",+1 212-473-0220,#81,$$ - $$$MediterraneanGreekVegetarian Friendly,414 reviews,,4.5,http://www.pylosrestaurant.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d425831-Reviews-Pylos-New_York_City_New_York.html
Rubirosa,"235 Mulberry St, New York City, NY 10012-4157",+1 212-965-0500,#82,$$ - $$$ItalianPizzaVegetarian Friendly,"1,334 reviews",See all hours,4.5,http://www.rubirosanyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d2009679-Reviews-Rubirosa-New_York_City_New_York.html
Benjamin Steakhouse,"52 E 41st St Between Park and Madison Avenue, New York City, NY 10017-6211",+1 212-297-9177,#264,$$$$AmericanSeafoodSoups,"2,513 reviews",See all hours,4.5,http://benjaminsteakhouse.com/nyc/?utm_source=TripAdvisor&utm_medium=TA41&utm_campaign=Web,https://www.tripadvisor.com/Restaurant_Review-g60763-d655719-Reviews-Benjamin_Steakhouse-New_York_City_New_York.html
Megan’s Bar & Kitchen,"7 W 45th St, New York City, NY 10036-4905",+1 212-869-2225,#1,$$ - $$$IrishBarPub,255 reviews,See all hours,4.5,https://www.megansbarandkitchen.net/,https://www.tripadvisor.com/Restaurant_Review-g60763-d15184992-Reviews-Megan_s_Bar_Kitchen-New_York_City_New_York.html
Le Bernardin,"155 W 51st St, New York City, NY 10019-6019",+1 212-554-1515,#84,$$$$FrenchVegetarian FriendlyGluten Free Options,"3,599 reviews",See all hours,4.5,http://www.le-bernardin.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d424434-Reviews-Le_Bernardin-New_York_City_New_York.html
Hangawi,"12 E 32nd St, New York City, NY 10016-5419",+1 212-213-0077,#85,$$$$AsianKoreanHealthy,653 reviews,See all hours,4.5,http://www.hangawirestaurant.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d425341-Reviews-Hangawi-New_York_City_New_York.html
Up Thai,"1411 2nd Ave Frnt 1, New York City, NY 10021-3771",+1 212-256-1188,#86,$$ - $$$AsianThaiVegetarian Friendly,378 reviews,See all hours,4.5,http://www.upthainyc.com/front/home,https://www.tripadvisor.com/Restaurant_Review-g60763-d6000258-Reviews-Up_Thai-New_York_City_New_York.html
BG - Bergdorf Goodman,"754 5th Ave, New York City, NY 10019-2503",+1 212-872-8977,#87,$$$$AmericanVegetarian FriendlyVegan Options,540 reviews,See all hours,4.5,http://www.bergdorfgoodman.com/store/info/restaurant.jhtml?rest=100001&_requestid=11839,https://www.tripadvisor.com/Restaurant_Review-g60763-d1368208-Reviews-BG_Bergdorf_Goodman-New_York_City_New_York.html
Tangy Noodle,"98 8th Ave, New York City, NY 10011-5125",+1 917-261-4931,"#1,684",$$ - $$$ChineseAsianTaiwanese,27 reviews,See all hours,4.5,http://www.tangynoodle.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d25250037-Reviews-Tangy_Noodle-New_York_City_New_York.html
Russ & Daughters,"179 E Houston St There Are Three Russ & Daughters: The Store on Houston and the Cafe on Orchard Street, New York City, NY 10002-1024",+1 212-475-4880,#88,$$ - $$$AmericanDeliEastern European,"1,206 reviews",,4.5,http://www.russanddaughters.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d1224238-Reviews-Russ_Daughters-New_York_City_New_York.html
Parkside Restaurant,"10701 Corona Ave, Corona, NY 11368-3218",+1 718-271-9871,#1,$$ - $$$ItalianVegetarian FriendlyVegan Options,506 reviews,,4.5,http://parksiderestaurantny.com/,https://www.tripadvisor.com/Restaurant_Review-g47542-d475429-Reviews-Parkside_Restaurant-Corona_Queens_New_York.html
Andrews Coffee Shop,"463 7th Ave, New York City, NY 10018-7604",+1 212-695-1962,#89,$AmericanCafeDiner,"2,415 reviews",06:00 AM - 10:00 PM,4.5,http://www.andrewsny.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d1762735-Reviews-Andrews_Coffee_Shop-New_York_City_New_York.html
Tomino - Taberna Gallega,"192 Grand St, New York City, NY 10013-3712",+1 212-933-4763,#90,$$ - $$$MediterraneanSpanishWine Bar,250 reviews,See all hours,4.5,http://www.tominonyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d12990804-Reviews-Tomino_Taberna_Gallega-New_York_City_New_York.html
Raclette,"511 E 12th St, New York City, NY 10009-3879",+1 917-997-7306,#91,$$ - $$$FrenchSwissEuropean,432 reviews,See all hours,4.5,http://raclette.nyc/,https://www.tripadvisor.com/Restaurant_Review-g60763-d7761483-Reviews-Raclette-New_York_City_New_York.html
Burger & Lobster,"39 W 19th St between Fifth & 6th Avenues, New York City, NY 10011-4225",+1 646-833-7532,#115,$$ - $$$AmericanSeafood,"1,104 reviews",See all hours,4.5,http://www.burgerandlobster.com/locations/new-york/flatiron/,https://www.tripadvisor.com/Restaurant_Review-g60763-d7345837-Reviews-Burger_Lobster-New_York_City_New_York.html
Orso,"322 W 46th St, New York City, NY 10036-3801",+1 212-489-7212,#92,$$ - $$$ItalianVegetarian FriendlyVegan Options,495 reviews,,4.5,http://www.orsorestaurant.com/index.php,https://www.tripadvisor.com/Restaurant_Review-g60763-d424608-Reviews-Orso-New_York_City_New_York.html
Il Corso,"54 W 55th St, New York City, NY 10019-5309",+1 212-957-1500,#93,$$ - $$$ItalianVegetarian FriendlyVegan Options,"1,034 reviews",See all hours,4.5,http://www.ilcorsorestaurant.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d477312-Reviews-Il_Corso-New_York_City_New_York.html
The Capital Grille,"120 W 51st St Rockefeller Center, New York City, NY 10020",+1 212-246-0154,#94,$$$$AmericanSteakhouseVegetarian Friendly,"1,377 reviews",See all hours,4.5,https://www.thecapitalgrille.com/locations/ny/new-york/nyc-rockefeller-center/8038,https://www.tripadvisor.com/Restaurant_Review-g60763-d1526337-Reviews-The_Capital_Grille-New_York_City_New_York.html
VIV Thai Restaurant and Bar,"717 9th Ave Between 48th and 49th Street, New York City, NY 10019-7388",+1 212-581-5999,#95,$$ - $$$AsianThaiVegetarian Friendly,299 reviews,See all hours,4.5,http://www.vivthainyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d3498676-Reviews-VIV_Thai_Restaurant_and_Bar-New_York_City_New_York.html
Westway Diner,"614 9th Ave, New York City, NY 10036",+1 212-582-7661,#96,$AmericanVegetarian FriendlyVegan Options,"2,455 reviews",See all hours,4.5,https://www.westwaydiner.com/?y_source=1_MTc5MjE3NTEtNzY5LWxvY2F0aW9uLndlYnNpdGU%3D,https://www.tripadvisor.com/Restaurant_Review-g60763-d459367-Reviews-Westway_Diner-New_York_City_New_York.html
The Landmark Tavern,"626 11th Ave On the corner of 46st street & 11th Avenue, New York City, NY 10036-2002",+1 212-247-2562,#97,$$ - $$$IrishEuropeanCentral American,398 reviews,See all hours,4.5,http://www.thelandmarktavern.org/,https://www.tripadvisor.com/Restaurant_Review-g60763-d3579021-Reviews-The_Landmark_Tavern-New_York_City_New_York.html
Jimmy's Corner,"140 W 44th St, New York City, NY 10036-4046",+1 212-221-9510,#98,$Pub,539 reviews,,4.5,https://www.facebook.com/jimmyscornernyc,https://www.tripadvisor.com/Restaurant_Review-g60763-d1006793-Reviews-Jimmy_s_Corner-New_York_City_New_York.html
Blue Hill,"75 Washington Pl, New York City, NY 10011-9174",+1 212-539-1776,#99,$$$$AmericanContemporaryVegetarian Friendly,714 reviews,,4.5,http://www.bluehillfarm.com/food/blue-hill-new-york,https://www.tripadvisor.com/Restaurant_Review-g60763-d457823-Reviews-Blue_Hill-New_York_City_New_York.html
Kesté Pizza e Vino,"77 Fulton St, New York City, NY 10038-1864",+1 212-693-9030,#100,$$ - $$$ItalianPizzaNeapolitan,"1,202 reviews",,4.5,https://kestepizzeria.com/en/home/,https://www.tripadvisor.com/Restaurant_Review-g60763-d1450822-Reviews-Keste_Pizza_e_Vino-New_York_City_New_York.html
The Meatball Shop - Williamsburg,"170 Bedford Ave Between North 7th & North 8th Street, Brooklyn, NY 11249-2906",+1 718-551-0520,#8,$$ - $$$AmericanContemporaryVegetarian Friendly,359 reviews,See all hours,4.5,http://www.themeatballshop.com/,https://www.tripadvisor.com/Restaurant_Review-g60827-d3457332-Reviews-The_Meatball_Shop_Williamsburg-Brooklyn_New_York.html
Meduza Mediterrania New York,"657 Hudson Street Gansevoort Meatpacking NYC, New York City, NY 10014",+1 646-435-6544,"#4,639",$$$$Mediterranean,3 reviews,See all hours,5.0,http://www.meduza33.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d25777160-Reviews-Meduza_Mediterrania_New_York-New_York_City_New_York.html
Tanner Smith's,"204 W 55th St, New York City, NY 10019-5240",+1 646-590-2034,#101,$$ - $$$AmericanBarPub,473 reviews,See all hours,4.5,http://www.tannersmiths.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d8120444-Reviews-Tanner_Smith_s-New_York_City_New_York.html
Butcher Bar,"3710 30th Ave, Astoria, NY 11103-4331",+1 718-606-8140,#2,$$ - $$$AmericanBarBarbecue,330 reviews,See all hours,4.5,http://www.butcherbar.com/,https://www.tripadvisor.com/Restaurant_Review-g29837-d3172098-Reviews-Butcher_Bar-Astoria_Queens_New_York.html
Lobster Place,"75 9th Ave Chelsea Market, New York City, NY 10011-7006",+1 212-255-5672,#102,$$ - $$$SeafoodHealthyGluten Free Options,"2,317 reviews",See all hours,4.5,http://www.lobsterplace.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d2076999-Reviews-Lobster_Place-New_York_City_New_York.html
Gato,"324 Lafayette St, New York City, NY 10012-2726",+1 212-334-6400,#103,$$$$AmericanMediterraneanVegetarian Friendly,706 reviews,,4.5,http://gatonyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d6414820-Reviews-Gato-New_York_City_New_York.html
Ayza Wine & Chocolate Bar,"11 W 31st St Between 5th Avenue and Broadway, New York City, NY 10001-4402",+1 212-714-2992,#104,$$ - $$$AmericanBarPub,589 reviews,See all hours,4.5,http://ayzanyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d1182272-Reviews-Ayza_Wine_Chocolate_Bar-New_York_City_New_York.html
Quality Meats,"57 W 58th St Between 5th and 6th Ave, New York City, NY 10019-1630",+1 212-371-7777,#239,$$$$AmericanSteakhouseGluten Free Options,"2,438 reviews",See all hours,4.5,http://qualitymeatsnyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d797786-Reviews-Quality_Meats-New_York_City_New_York.html
La Grande Boucherie,"145 W 53rd St, New York City, NY 10019-6005",+1 212-510-7714,#8,$$$$FrenchSteakhouse,"1,859 reviews",See all hours,5.0,http://boucherieus.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d21410713-Reviews-La_Grande_Boucherie-New_York_City_New_York.html
Market Table,"54 Carmine St, New York City, NY 10014-4424",+1 212-255-2100,#105,$$ - $$$AmericanVegetarian FriendlyVegan Options,462 reviews,See all hours,4.5,http://markettablenyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d814277-Reviews-Market_Table-New_York_City_New_York.html
Aurora SoHo,"510 Broome St, New York City, NY 10013-1695",+1 212-334-9020,#106,$$ - $$$ItalianMediterraneanVegetarian Friendly,410 reviews,,4.5,http://www.aurorasoho.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d814362-Reviews-Aurora_SoHo-New_York_City_New_York.html
Dirt Candy,"86 Allen St, New York City, NY 10002-3014",+1 212-228-7732,#107,$$ - $$$AmericanVegetarian FriendlyVegan Options,373 reviews,See all hours,4.5,http://www.dirtcandynyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d1236468-Reviews-Dirt_Candy-New_York_City_New_York.html
5 Napkin Burger,"630 9th Ave, New York City, NY 10036",+1 212-757-2277,#108,$$ - $$$AmericanContemporaryVegetarian Friendly,"4,404 reviews",See all hours,4.5,http://www.5napkinburger.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d4737024-Reviews-5_Napkin_Burger-New_York_City_New_York.html
Tony's Di Napoli - Midtown,"147 W 43rd St, New York City, NY 10036-6575",+1 212-221-0100,#109,$$ - $$$ItalianNeapolitanVegetarian Friendly,"6,601 reviews",,4.5,http://www.tonysnyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d543689-Reviews-Tony_s_Di_Napoli_Midtown-New_York_City_New_York.html
Meduza Mediterrania New York,"657 Hudson Street Gansevoort Meatpacking NYC, New York City, NY 10014",+1 646-435-6544,"#4,639",$$$$Mediterranean,3 reviews,See all hours,5.0,http://www.meduza33.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d25777160-Reviews-Meduza_Mediterrania_New_York-New_York_City_New_York.html
La Lanterna di Vittorio,"129 Macdougal St, New York City, NY 10012-1076",+1 917-639-3236,#110,$$ - $$$ItalianPizzaVegetarian Friendly,382 reviews,See all hours,4.5,http://www.lalanterna.nyc/,https://www.tripadvisor.com/Restaurant_Review-g60763-d1501860-Reviews-La_Lanterna_di_Vittorio-New_York_City_New_York.html
Indian Accent,"123 W 56th St, New York City, NY 10019-3802",+1 212-842-8070,#111,$$$$IndianVegetarian FriendlyVegan Options,583 reviews,See all hours,4.5,http://indianaccent.com/newyork/,https://www.tripadvisor.com/Restaurant_Review-g60763-d10000786-Reviews-Indian_Accent-New_York_City_New_York.html
Ivan Ramen,"25 Clinton St, New York City, NY 10002-1793",+1 646-678-3859,#112,$$ - $$$JapaneseAsianSoups,489 reviews,See all hours,4.5,http://www.ivanramen.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d6692504-Reviews-Ivan_Ramen-New_York_City_New_York.html
The Grey Dog (Nolita),"244 Mulberry St, New York City, NY 10012-4105",+1 212-229-2345,#113,$$ - $$$AmericanVegetarian FriendlyVegan Options,576 reviews,See all hours,4.5,http://www.thegreydog.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d2429483-Reviews-The_Grey_Dog_Nolita-New_York_City_New_York.html
Times Square Diner,"807 8th Avenue, New York City, NY 10019-7418",+1 212-315-2400,#114,$AmericanDinerVegetarian Friendly,"2,462 reviews",07:00 AM - 11:00 PM,4.5,http://www.facebook.com/timessquaredinernyc/,https://www.tripadvisor.com/Restaurant_Review-g60763-d6892205-Reviews-Times_Square_Diner-New_York_City_New_York.html
Ben & Jack's Steakhouse,"219 E 44th St, New York City, NY 10017-4305",+1 212-682-5678,"#1,079",$$$$AmericanSteakhouseBar,97 reviews,See all hours,4.5,https://www.benandjackssteakhouse.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d13194792-Reviews-Ben_Jack_s_Steakhouse-New_York_City_New_York.html
Burger & Lobster,"39 W 19th St between Fifth & 6th Avenues, New York City, NY 10011-4225",+1 646-833-7532,#115,$$ - $$$AmericanSeafood,"1,104 reviews",See all hours,4.5,http://www.burgerandlobster.com/locations/new-york/flatiron/,https://www.tripadvisor.com/Restaurant_Review-g60763-d7345837-Reviews-Burger_Lobster-New_York_City_New_York.html
Tommy Bahama Restaurant & Bar,"551 5th Ave at 45th Street - The Fred French Bldg, New York City, NY 10176-0001",+1 212-537-0960,#116,$$ - $$$AmericanBarContemporary,528 reviews,See all hours,4.5,http://www.tommybahama.com/restaurants/restaurants/new-york-city.html,https://www.tripadvisor.com/Restaurant_Review-g60763-d3915336-Reviews-Tommy_Bahama_Restaurant_Bar-New_York_City_New_York.html
Bengal Tiger Indian Food,"58W 56th street 2nd flr 2nd Floor, New York City, NY 10019-3820",+1 212-265-2703,#117,$$ - $$$IndianVegetarian FriendlyVegan Options,561 reviews,,4.5,http://www.bengaltigerindianfood.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d5559688-Reviews-Bengal_Tiger_Indian_Food-New_York_City_New_York.html
Ribalta Pizza,"48 E 12th St, New York City, NY 10003-4640",+1 212-777-7781,#118,$$ - $$$ItalianPizzaNeapolitan,940 reviews,,4.5,http://www.ribaltapizzarestaurant.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d3158813-Reviews-Ribalta_Pizza-New_York_City_New_York.html
Forno's of Spain Restaurant,"47 Ferry St, Newark, NJ 07105-1443",+1 973-589-4767,#3,$$ - $$$SeafoodEuropeanSpanish,846 reviews,See all hours,4.5,http://www.fornosrestaurant.com/,https://www.tripadvisor.com/Restaurant_Review-g46671-d510780-Reviews-Forno_s_of_Spain_Restaurant-Newark_New_Jersey.html
Lupa Osteria Romana,"170 Thompson St, New York City, NY 10012",+1 212-982-5089,#477,$$ - $$$ItalianRomanaVegetarian Friendly,990 reviews,See all hours,4.0,http://luparestaurant.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d423393-Reviews-Lupa_Osteria_Romana-New_York_City_New_York.html
Momofuku Noodle Bar,"171 1st Ave btwn 10th & 11th St., New York City, NY 10003-2949",+1 212-777-7773,#119,$$ - $$$JapaneseAsianSoups,"1,487 reviews",,4.5,http://www.momofuku.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d1030684-Reviews-Momofuku_Noodle_Bar-New_York_City_New_York.html
Emporio,"231 Mott St, New York City, NY 10012-5711",+1 212-966-1234,#120,$$ - $$$ItalianVegetarian FriendlyVegan Options,594 reviews,,4.5,http://emporiony.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d1420210-Reviews-Emporio-New_York_City_New_York.html
Taverna Kyclades,"3307 Ditmars Blvd 36th Street, Astoria, NY 11105-2105",+1 718-545-8666,#3,$$ - $$$SeafoodMediterraneanGreek,805 reviews,See all hours,4.5,http://www.tavernakyclades.com/,https://www.tripadvisor.com/Restaurant_Review-g29837-d426027-Reviews-Taverna_Kyclades-Astoria_Queens_New_York.html
Gramercy Tavern,"42 E 20th St Frnt A, New York City, NY 10003-1300",+1 212-477-0777,#121,$$$$AmericanVegetarian FriendlyVegan Options,"3,783 reviews",,4.5,http://www.gramercytavern.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d424094-Reviews-Gramercy_Tavern-New_York_City_New_York.html
Veselka,"144 2nd Avenue at East 9th St., New York City, NY 10003",+1 212-228-9682,#122,$$ - $$$SoupsEastern EuropeanUkrainian,"1,070 reviews",See all hours,4.5,http://www.veselka.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d425819-Reviews-Veselka-New_York_City_New_York.html
